"courseid","coursename","credits"
"BSC2010C","BIOLOGY 1",4
"CAP4611","ALGORITHMS FOR MACHINE LEARNING",3
"CIS4340","DATA MANAGEMENT TECHNOLOGY",3
"COP3223C","INTRO TO PROGRAMMING WITH C",3
"COP3502C","COMPUTER SCIENCE I",3
"COT3100C","INTRO TO DISCRETE STRUCTURES",3
"ISC4311","PREDICTIVE ANALYTICS",3
"MAC2311C","CALCULUS WITH ANALYTICAL GEO. 1",4
"MAC2312","CALCULUS WITH ANALYTIC GEO II",4
"MAC2313","CALCULUS WITH ANALYTICAL GEO III",4
"MHF3302","LOGIC AND PROOF IN MATHEMATICS",3
"PHY2048","GEN PHYSICS USING CALC 1",3
"PHY2048L","GEN PHYSICS USING CALC 1 LAB",1
"STA2023","STATISTICAL METHODS",3
"STA4241","STATISTICAL LEARNING",3
"STA4852","STATISTICAL LEARNING",3
